Time,W730,W840,W1060,W1290,W1520
2015-01-02T00:00:00,0.000,0.117,0.000,0.000,0.000
2015-01-03T00:00:00,0.000,3.575,0.109,0.000,3.134
2015-01-04T00:00:00,0.105,7.083,2.100,0.366,6.062
2015-01-05T00:00:00,1.484,0.602,5.392,2.465,0.533
2015-01-06T00:00:00,0.500,0.000,0.000,0.911,0.000
2015-01-07T00:00:00,0.136,0.342,0.000,0.015,0.000
2015-01-08T00:00:00,0.328,0.110,0.035,0.081,0.225
2015-01-09T00:00:00,1.647,0.464,0.417,0.212,0.454
2015-01-10T00:00:00,0.000,0.000,0.269,0.166,0.000
2015-01-11T00:00:00,0.000,0.000,0.000,0.044,0.000
2015-01-12T00:00:00,0.000,0.000,0.000,0.003,0.000
2015-01-13T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-14T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-15T00:00:00,0.000,0.002,0.000,0.000,0.000
2015-01-16T00:00:00,0.000,0.038,0.000,0.000,0.000
2015-01-17T00:00:00,0.000,0.000,0.015,0.000,0.004
2015-01-18T00:00:00,0.000,0.000,0.494,0.142,0.452
2015-01-19T00:00:00,0.000,0.000,0.213,0.663,0.000
2015-01-20T00:00:00,0.000,0.000,0.000,0.118,0.000
2015-01-21T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-22T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-23T00:00:00,0.000,0.089,0.000,0.000,0.000
2015-01-24T00:00:00,0.001,1.145,0.022,0.125,0.062
2015-01-25T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-26T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-27T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-28T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-29T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-01-30T00:00:00,0.055,0.000,0.471,0.383,0.461
2015-01-31T00:00:00,0.168,0.000,0.035,1.117,0.000
2015-02-01T00:00:00,0.151,0.000,0.000,0.362,0.000
2015-02-02T00:00:00,0.001,0.000,0.000,0.002,0.000
2015-02-03T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-04T00:00:00,0.000,1.913,0.000,0.000,0.000
2015-02-05T00:00:00,0.000,0.389,0.000,0.000,0.000
2015-02-06T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-07T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-08T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-09T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-10T00:00:00,0.000,0.000,0.000,0.002,0.000
2015-02-11T00:00:00,0.000,0.000,0.006,0.012,0.000
2015-02-12T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-13T00:00:00,3.695,0.742,0.951,2.951,1.960
2015-02-14T00:00:00,2.538,0.210,0.392,2.506,0.049
2015-02-15T00:00:00,0.041,0.000,0.049,0.042,0.067
2015-02-16T00:00:00,0.073,2.184,0.115,0.054,0.658
2015-02-17T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-18T00:00:00,0.000,0.000,0.060,0.000,0.420
2015-02-19T00:00:00,0.243,1.808,1.999,0.236,4.658
2015-02-20T00:00:00,0.057,2.089,0.390,0.796,0.132
2015-02-21T00:00:00,0.000,0.000,0.000,0.000,0.005
2015-02-22T00:00:00,0.237,0.000,1.808,1.417,0.379
2015-02-23T00:00:00,0.000,0.002,0.000,0.000,0.000
2015-02-24T00:00:00,0.000,0.000,0.023,0.000,0.538
2015-02-25T00:00:00,0.000,0.000,0.000,0.000,0.000
2015-02-26T00:00:00,0.044,0.003,0.566,2.236,0.000
2015-02-27T00:00:00,0.205,0.241,4.582,6.842,3.399
2015-02-28T00:00:00,0.084,0.604,0.122,1.953,0.334
2015-03-01T00:00:00,0.000,0.000,0.000,0.033,0.000
2015-03-02T00:00:00,0.104,3.829,0.299,0.000,1.954
2015-03-03T00:00:00,0.173,5.662,0.181,0.297,3.093
2015-03-04T00:00:00,0.263,7.632,0.112,3.103,0.035
